"time","temp","feels","wind","gust","rain","humidity","cloud","pressure","vis","date"
"12:00","9 °c","6 °c","24 km/h from W","35 km/h","0.0 mm","85%","91%","1007 mb",Excellent,"2019-01-25"
"15:00","9 °c","5 °c","24 km/h from WSW","37 km/h","0.0 mm","86%","86%","1007 mb",Excellent,"2019-01-25"
"18:00","6 °c","6 °c","28 km/h from WSW","46 km/h","0.1 mm","90%","100%","1005 mb",Excellent,"2019-01-25"
"21:00","4 °c","4 °c","33 km/h from W","56 km/h","0.5 mm","86%","100%","1004 mb",Poor,"2019-01-25"
"00:00","10 °c","6 °c","31 km/h from W","48 km/h","0.9 mm","87%","100%","1004 mb",Excellent,"2019-01-26"
"03:00","9 °c","6 °c","33 km/h from WSW","50 km/h","0.1 mm","84%","100%","1000 mb",Excellent,"2019-01-26"
"06:00","9 °c","5 °c","33 km/h from WSW","50 km/h","0.1 mm","85%","100%","997 mb",Excellent,"2019-01-26"
"09:00","9 °c","5 °c","31 km/h from SW","44 km/h","0.0 mm","83%","100%","993 mb",Excellent,"2019-01-26"
"12:00","9 °c","6 °c","26 km/h from SW","36 km/h","0.0 mm","81%","100%","989 mb",Excellent,"2019-01-26"
"15:00","8 °c","5 °c","21 km/h from SW","29 km/h","1.7 mm","86%","100%","985 mb",Excellent,"2019-01-26"
"18:00","7 °c","5 °c","13 km/h from W","18 km/h","2.3 mm","93%","63%","982 mb",Excellent,"2019-01-26"
"21:00","5 °c","1 °c","29 km/h from N","37 km/h","1.6 mm","80%","100%","984 mb",Excellent,"2019-01-26"
"00:00","4 °c",-1 °c,"28 km/h from NNW","36 km/h","0.0 mm","71%","71%","987 mb",Excellent,"2019-01-27"
"03:00","3 °c",-2 °c,"31 km/h from WNW","45 km/h","0.0 mm","70%","38%","987 mb",Excellent,"2019-01-27"
"06:00","5 °c",-1 °c,"32 km/h from NW","46 km/h","0.0 mm","71%","63%","988 mb",Excellent,"2019-01-27"
"09:00","5 °c",-1 °c,"40 km/h from NW","54 km/h","0.3 mm","67%","82%","990 mb",Poor,"2019-01-27"
"12:00","5 °c",-1 °c,"39 km/h from NW","50 km/h","0.0 mm","66%","94%","993 mb",Excellent,"2019-01-27"
"15:00","5 °c",-1 °c,"36 km/h from NW","46 km/h","0.3 mm","63%","81%","996 mb",Excellent,"2019-01-27"
"18:00","3 °c",-3 °c,"27 km/h from NW","39 km/h","0.0 mm","69%","46%","998 mb",Excellent,"2019-01-27"
